"health_officer_region","county","group_var_cat","group_var","group_pop","cumulative_infected","cumulative_severe","inf_rate_100k","sev_rate_100k","total_group_var_pop","total_ca_pop","geo_level"
"Bay Area",NA,"FEMALE","sex",4260819,414923,12942,9738,304,39109070,39109070,"region"
"Bay Area",NA,"MALE","sex",4131055,406737,11635,9846,282,39109070,39109070,"region"
"Central California",NA,"FEMALE","sex",2250797,399221,10394,17737,462,39109070,39109070,"region"
"Central California",NA,"MALE","sex",2181337,405296,9503,18580,436,39109070,39109070,"region"
"Greater Sierra Sacramento",NA,"FEMALE","sex",1527015,234574,7017,15362,460,39109070,39109070,"region"
"Greater Sierra Sacramento",NA,"MALE","sex",1446195,225816,6117,15614,423,39109070,39109070,"region"
"Los Angeles",NA,"FEMALE","sex",5049625,451545,13684,8942,271,39109070,39109070,"region"
"Los Angeles",NA,"MALE","sex",4776083,434611,11425,9100,239,39109070,39109070,"region"
"Rural North",NA,"FEMALE","sex",339436,36256,1284,10681,378,39109070,39109070,"region"
"Rural North",NA,"MALE","sex",344279,36640,1275,10643,370,39109070,39109070,"region"
"Southern California",NA,"FEMALE","sex",6503705,757647,22050,11649,339,39109070,39109070,"region"
"Southern California",NA,"MALE","sex",6298724,746317,19600,11849,311,39109070,39109070,"region"
"Bay Area",NA,"0-17","age_cat",1696702,53159,48,3133,3,39109070,39109070,"region"
"Bay Area",NA,"18-49","age_cat",3656854,430075,5234,11761,143,39109070,39109070,"region"
"Bay Area",NA,"50-64","age_cat",1588123,100985,474,6359,30,39109070,39109070,"region"
"Bay Area",NA,"65+","age_cat",1450195,237441,18821,16373,1298,39109070,39109070,"region"
"Central California",NA,"0-17","age_cat",1246767,77110,75,6185,6,39109070,39109070,"region"
"Central California",NA,"18-49","age_cat",1930361,462265,5377,23947,279,39109070,39109070,"region"
"Central California",NA,"50-64","age_cat",689826,88043,462,12763,67,39109070,39109070,"region"
"Central California",NA,"65+","age_cat",565180,177099,13983,31335,2474,39109070,39109070,"region"
"Greater Sierra Sacramento",NA,"0-17","age_cat",673877,34371,38,5100,6,39109070,39109070,"region"
"Greater Sierra Sacramento",NA,"18-49","age_cat",1260069,247961,2845,19678,226,39109070,39109070,"region"
"Greater Sierra Sacramento",NA,"50-64","age_cat",528617,53535,268,10127,51,39109070,39109070,"region"
"Greater Sierra Sacramento",NA,"65+","age_cat",510647,124523,9983,24385,1955,39109070,39109070,"region"
"Los Angeles",NA,"0-17","age_cat",1975596,60176,61,3046,3,39109070,39109070,"region"
"Los Angeles",NA,"18-49","age_cat",4425500,479251,5632,10829,127,39109070,39109070,"region"
"Los Angeles",NA,"50-64","age_cat",1865653,110536,575,5925,31,39109070,39109070,"region"
"Los Angeles",NA,"65+","age_cat",1558959,236193,18841,15151,1209,39109070,39109070,"region"
"Rural North",NA,"0-17","age_cat",151044,4997,4,3308,3,39109070,39109070,"region"
"Rural North",NA,"18-49","age_cat",267490,34858,471,13032,176,39109070,39109070,"region"
"Rural North",NA,"50-64","age_cat",119019,8021,42,6739,35,39109070,39109070,"region"
"Rural North",NA,"65+","age_cat",146162,25020,2042,17118,1397,39109070,39109070,"region"
"Southern California",NA,"0-17","age_cat",2950125,123397,137,4183,5,39109070,39109070,"region"
"Southern California",NA,"18-49","age_cat",5566231,812874,9766,14604,175,39109070,39109070,"region"
"Southern California",NA,"50-64","age_cat",2295559,179361,1001,7813,44,39109070,39109070,"region"
"Southern California",NA,"65+","age_cat",1990514,388332,30746,19509,1545,39109070,39109070,"region"
"Bay Area",NA,"AIAN NH","race_short",22205,2612,72,11763,324,39109070,39109070,"region"
"Bay Area",NA,"Asian NH","race_short",2293740,177073,5373,7720,234,39109070,39109070,"region"
"Bay Area",NA,"Black NH","race_short",460712,51846,1481,11253,321,39109070,39109070,"region"
"Bay Area",NA,"Hispanic","race_short",2001722,209872,4242,10485,212,39109070,39109070,"region"
"Bay Area",NA,"MR NH","race_short",422322,27399,498,6488,118,39109070,39109070,"region"
"Bay Area",NA,"NHPI NH","race_short",51902,4729,121,9111,233,39109070,39109070,"region"
"Bay Area",NA,"White NH","race_short",3139271,348129,12790,11089,407,39109070,39109070,"region"
"Central California",NA,"AIAN NH","race_short",25249,5286,172,20935,681,39109070,39109070,"region"
"Central California",NA,"Asian NH","race_short",358133,54638,1503,15256,420,39109070,39109070,"region"
"Central California",NA,"Black NH","race_short",183935,36788,860,20001,468,39109070,39109070,"region"
"Central California",NA,"Hispanic","race_short",2482315,395830,7182,15946,289,39109070,39109070,"region"
"Central California",NA,"MR NH","race_short",134681,17062,316,12668,235,39109070,39109070,"region"
"Central California",NA,"NHPI NH","race_short",13524,2158,53,15957,392,39109070,39109070,"region"
"Central California",NA,"White NH","race_short",1234297,292755,9811,23718,795,39109070,39109070,"region"
"Greater Sierra Sacramento",NA,"AIAN NH","race_short",18313,3278,105,17900,573,39109070,39109070,"region"
"Greater Sierra Sacramento",NA,"Asian NH","race_short",394597,56041,1424,14202,361,39109070,39109070,"region"
"Greater Sierra Sacramento",NA,"Black NH","race_short",167005,32921,808,19713,484,39109070,39109070,"region"
"Greater Sierra Sacramento",NA,"Hispanic","race_short",737341,99190,1940,13452,263,39109070,39109070,"region"
"Greater Sierra Sacramento",NA,"MR NH","race_short",177015,17849,295,10083,167,39109070,39109070,"region"
"Greater Sierra Sacramento",NA,"NHPI NH","race_short",23867,3447,87,14443,365,39109070,39109070,"region"
"Greater Sierra Sacramento",NA,"White NH","race_short",1455072,247664,8475,17021,582,39109070,39109070,"region"
"Los Angeles",NA,"AIAN NH","race_short",21809,1745,64,8001,293,39109070,39109070,"region"
"Los Angeles",NA,"Asian NH","race_short",1637181,121970,4176,7450,255,39109070,39109070,"region"
"Los Angeles",NA,"Black NH","race_short",840522,72283,2136,8600,254,39109070,39109070,"region"
"Los Angeles",NA,"Hispanic","race_short",4089110,429165,9482,10495,232,39109070,39109070,"region"
"Los Angeles",NA,"MR NH","race_short",333522,17181,352,5151,106,39109070,39109070,"region"
"Los Angeles",NA,"NHPI NH","race_short",24396,2090,53,8567,217,39109070,39109070,"region"
"Los Angeles",NA,"White NH","race_short",2879168,241722,8846,8396,307,39109070,39109070,"region"
"Rural North",NA,"AIAN NH","race_short",22978,2337,66,10171,287,39109070,39109070,"region"
"Rural North",NA,"Asian NH","race_short",18143,1313,49,7237,270,39109070,39109070,"region"
"Rural North",NA,"Black NH","race_short",10022,1015,20,10128,200,39109070,39109070,"region"
"Rural North",NA,"Hispanic","race_short",158743,11936,249,7519,157,39109070,39109070,"region"
"Rural North",NA,"MR NH","race_short",42273,2377,61,5623,144,39109070,39109070,"region"
"Rural North",NA,"NHPI NH","race_short",1570,112,1,7134,64,39109070,39109070,"region"
"Rural North",NA,"White NH","race_short",429986,53806,2113,12513,491,39109070,39109070,"region"
"Southern California",NA,"AIAN NH","race_short",48118,6937,192,14417,399,39109070,39109070,"region"
"Southern California",NA,"Asian NH","race_short",1593626,135735,4043,8517,254,39109070,39109070,"region"
"Southern California",NA,"Black NH","race_short",549322,76983,1813,14014,330,39109070,39109070,"region"
"Southern California",NA,"Hispanic","race_short",5360715,650703,13389,12138,250,39109070,39109070,"region"
"Southern California",NA,"MR NH","race_short",501690,34523,705,6881,141,39109070,39109070,"region"
"Southern California",NA,"NHPI NH","race_short",38470,4385,95,11398,247,39109070,39109070,"region"
"Southern California",NA,"White NH","race_short",4710488,594698,21413,12625,455,39109070,39109070,"region"
"Bay Area","Alameda","FEMALE","sex",849329,76103,2195,8960,258,39109070,39109070,"county"
"Bay Area","Alameda","MALE","sex",806708,72938,1946,9041,241,39109070,39109070,"county"
"Bay Area","Contra Costa","FEMALE","sex",590936,52735,1714,8924,290,39109070,39109070,"county"
"Bay Area","Contra Costa","MALE","sex",555600,50307,1481,9055,267,39109070,39109070,"county"
"Bay Area","Marin","FEMALE","sex",131098,12264,491,9355,375,39109070,39109070,"county"
"Bay Area","Marin","MALE","sex",123646,12054,435,9749,352,39109070,39109070,"county"
"Bay Area","Monterey","FEMALE","sex",222964,21514,678,9649,304,39109070,39109070,"county"
"Bay Area","Monterey","MALE","sex",213512,22622,629,10595,295,39109070,39109070,"county"
"Bay Area","Napa","FEMALE","sex",69726,6328,208,9076,298,39109070,39109070,"county"
